	median_Reporter intensity 1	median_Reporter intensity 2	median_Reporter intensity 3	median_Reporter intensity 4	median_Reporter intensity 5	median_Reporter intensity 6	median_Reporter intensity 7	median_Reporter intensity 8	median_Reporter intensity 9
Tb927.11.10100	0.094427929	0.110398757	0.105195604	0.110488668	0.115595659	0.113501539	0.120451287	0.108124982	0.121516983
Tb927.11.10110	0.096858786	0.117942527	0.107602643	0.107494622	0.11195519	0.107628684	0.115258461	0.117824695	0.113892804
Tb927.11.10120	0.11486088	0.105894994	0.108054203	0.110599545	0.113829002	0.112362407	0.11096273	0.112396736	0.112955071
Tb927.11.10130	0.102216806	0.109629868	0.106628551	0.110780635	0.110521868	0.115646896	0.113606197	0.114573577	0.113394515
Tb927.11.10140	0.115832682	0.113956687	0.112648393	0.11043675	0.111255978	0.110143822	0.106922878	0.111298179	0.109623206
Tb927.11.10150	0.108873264	0.110891983	0.110637136	0.112091773	0.109645925	0.111467861	0.112596127	0.114510457	0.113713505
Tb927.11.10160	0.113645741	0.105193578	0.110483939	0.116363789	0.113072527	0.110271506	0.111038833	0.112826413	0.112049033
Tb927.11.10170	0.110742118	0.109214118	0.109875055	0.110986701	0.110926661	0.11165532	0.112107385	0.109902937	0.113271726
Tb927.11.10180	0.118245427	0.111015852	0.106331996	0.110169355	0.112651482	0.112990271	0.113363302	0.106963322	0.109235783
Tb927.11.1020	0.118218812	0.111385927	0.109404931	0.111018964	0.106834802	0.109076791	0.110958378	0.108756945	0.113337488
Tb927.11.10200	0.108261816	0.104812675	0.102067169	0.109019801	0.107261814	0.116268645	0.116942061	0.118194393	0.118315684
Tb927.11.10210	0.110799367	0.108767464	0.109337953	0.113146138	0.111016863	0.113631329	0.115708691	0.115369013	0.106618688
Tb927.11.10220	0.118695018	0.106051171	0.108464732	0.111969319	0.109649432	0.109238721	0.1142059	0.109174506	0.116843663
Tb927.11.10230	0.112872818	0.113901773	0.107474189	0.110775685	0.110313005	0.109609627	0.11521834	0.111781172	0.113513854
Tb927.11.10240	0.111034115	0.11077919	0.109393615	0.109985618	0.109940641	0.110293059	0.11478562	0.110155015	0.119197976
Tb927.11.10250	0.112482967	0.107843775	0.110120457	0.111904534	0.114539779	0.108174688	0.114152124	0.112907555	0.114610256
Tb927.11.10260	0.111800104	0.111518676	0.110307496	0.110939749	0.108527847	0.111285715	0.113885571	0.111208319	0.110204007
Tb927.11.10270	0.119883689	0.113374273	0.114009016	0.111385784	0.112319811	0.107313284	0.107671854	0.106698489	0.104917741
Tb927.11.10280	0.099792447	0.094884503	0.108459445	0.106734846	0.118135757	0.11678049	0.11354307	0.116454496	0.125214918
Tb927.11.1030	0.033857057	0.053571609	0.086952733	0.118337721	0.142875113	0.164252243	0.15857754	0.130195235	0.100212904
Tb927.11.10300	0.101755579	0.111549881	0.109899991	0.117773617	0.112066981	0.113954949	0.111684976	0.113149154	0.109326457
Tb927.11.10320	0.112700164	0.11246131	0.111133387	0.107498598	0.109550361	0.109786939	0.110968182	0.111623219	0.112141519
Tb927.11.10330	0.110534923	0.103704085	0.110550853	0.113389709	0.111596973	0.112644445	0.112696917	0.111899478	0.111948564
